date,Sent_Count,favorites,Count,sentcount1day,favcount1day,econcount1day,job_change1day,growthgap1day,change1day
2019-12-12,-13,1168520,1,-16.0,760424.0,1.0,234.0,0.5,0.001241919561825441
2019-12-16,-2,922998,8,-13.0,1168520.0,1.0,234.0,0.5,0.008586966892472056
2019-12-17,12,1050193,1,-2.0,922998.0,8.0,234.0,0.5,0.0008771380239332518
2019-12-18,-17,1844648,2,12.0,1050193.0,1.0,234.0,0.5,-0.00109402350587654
2019-12-23,-11,541153,6,-17.0,1844648.0,2.0,234.0,0.5,-0.001281250000000078
2019-12-26,-8,1177514,1,-11.0,541153.0,6.0,234.0,0.5,-0.001150533287726446
2019-12-27,7,968491,2,-8.0,1177514.0,1.0,234.0,0.5,0.004010570495880679
2019-12-31,3,2049397,1,7.0,968491.0,2.0,234.0,0.5,-0.002718230678939876
2020-01-02,-1,678692,2,3.0,2049397.0,1.0,234.0,0.5,0.004149377593361124
2020-01-10,1,1130827,1,-1.0,678692.0,2.0,234.0,0.5,0.004110774556469012
2020-01-13,-2,1376843,1,1.0,1130827.0,1.0,161.0,0.5,-0.004827522991842222
2020-01-15,7,879021,2,-2.0,1376843.0,1.0,161.0,0.5,0.004779558197248697
2020-01-16,6,1156311,5,7.0,879021.0,2.0,161.0,0.5,0.0025660607912020013
2020-01-17,1,1743817,4,6.0,1156311.0,5.0,161.0,0.5,0.003700333636639452
2020-01-22,-16,1169836,5,1.0,1743817.0,4.0,161.0,0.5,0.0007536930961712392
2020-01-23,-11,1727546,3,-16.0,1169836.0,5.0,161.0,0.5,-0.002708885143270028
2020-01-28,-5,1240445,4,-11.0,1727546.0,3.0,161.0,0.5,0.003296736533285037
2020-01-29,-1,1893224,1,-5.0,1240445.0,4.0,161.0,0.5,0.005629729896019148
2020-02-11,-9,1108653,1,-1.0,1893224.0,1.0,161.0,0.5,-0.005359644314513645
2020-02-13,2,885803,1,-9.0,1108653.0,1.0,315.0,0.3,-0.002677296525464166
2020-02-18,-17,1610695,3,2.0,885803.0,1.0,315.0,0.3,0.003572917286964773
2020-02-21,-3,876680,1,-17.0,1610695.0,3.0,315.0,0.3,0.0006537695759413607
2020-02-25,-6,677317,1,-3.0,876680.0,1.0,315.0,0.3,-0.005931976033624494
2020-02-28,-4,1472639,1,-6.0,677317.0,1.0,315.0,0.3,-0.034852133111070015
2020-03-02,2,1459062,1,-4.0,1472639.0,1.0,315.0,0.3,0.02618635261517147
2020-03-04,6,2250760,1,2.0,1459062.0,1.0,315.0,0.3,0.03648435666141309
2020-03-09,-5,1653079,1,6.0,2250760.0,1.0,315.0,0.3,0.02201750947340915
2020-03-10,10,1153741,2,-5.0,1653079.0,1.0,289.0,0.3,-0.0038866690882673203
2020-03-12,-2,805272,6,10.0,1153741.0,2.0,289.0,0.3,0.013279932546374471
2020-03-13,3,1869644,2,-2.0,805272.0,6.0,289.0,0.3,-0.03082031249999995
2020-03-18,-4,2319454,1,3.0,1869644.0,2.0,289.0,0.3,0.02368010946824288
2020-03-24,5,2092812,1,-4.0,2319454.0,1.0,289.0,0.3,0.015873015873015872
2020-03-25,5,1828109,1,5.0,2092812.0,1.0,289.0,0.3,0.037240849756846765
2020-03-27,8,1632975,1,5.0,1828109.0,1.0,289.0,0.3,0.007840895168865061
2020-04-02,2,787430,2,8.0,1632975.0,1.0,289.0,0.2,0.0005922533264894272
