date,Neg_Count,Pos_Count,favorites,Count
2019-05-30,80,79,9027,15
2019-05-31,154,142,6157,30
2019-06-03,119,112,909,19
2019-06-04,92,87,858,8
2019-06-05,86,113,5030,13
2019-06-06,106,131,2984,9
2019-06-07,54,118,9201,15
2019-06-10,82,93,11214,10
2019-06-11,79,98,2992,5
2019-06-12,98,126,1365,18
2019-06-13,38,63,1153,13
2019-06-14,78,90,758,24
2019-06-17,62,64,1675,12
2019-06-18,62,76,5818,14
2019-06-19,82,121,5064,11
2019-06-20,146,190,2390,18
2019-06-21,115,84,3068,8
2019-06-24,68,76,2190,13
2019-06-25,58,79,8244,7
2019-06-26,73,70,4893,3
2019-06-27,72,84,2787,6
2019-06-28,82,83,2725,3
2019-07-01,152,171,15976,24
2019-07-02,55,65,2270,7
2019-07-03,78,105,14288,12
2019-07-05,64,65,6495,10
2019-07-08,119,66,4418,17
2019-07-09,81,103,11326,13
2019-07-10,100,111,1963,23
2019-07-11,71,89,4090,17
2019-07-12,83,69,880,13
2019-07-15,50,55,6347,12
2019-07-16,101,130,7639,19
2019-07-17,134,149,6762,13
2019-07-18,103,130,2079,14
2019-07-19,89,103,5355,14
2019-07-22,79,116,1874,7
2019-07-23,100,120,3468,16
2019-07-24,118,140,8357,20
2019-07-25,140,163,2339,30
2019-07-26,103,111,2249,13
2019-07-29,67,101,1068,14
2019-07-30,80,74,2644,17
2019-07-31,131,116,4067,15
2019-08-01,125,142,6705,24
2019-08-02,117,129,3340,29
2019-08-05,114,95,8565,10
2019-08-06,175,172,5078,18
2019-08-07,156,138,9423,14
2019-08-08,158,166,6009,11
2019-08-09,155,152,1957,25
2019-08-12,110,97,8299,14
2019-08-13,156,166,14922,20
2019-08-14,433,445,17206,77
2019-08-15,265,214,6566,63
2019-08-16,256,210,13729,42
2019-08-19,127,148,2963,21
2019-08-20,150,192,7623,17
2019-08-21,168,158,6265,18
2019-08-22,137,185,3923,31
2019-08-23,229,218,11420,41
2019-08-26,138,155,3958,22
2019-08-27,154,176,1950,14
2019-08-28,146,167,6441,22
2019-08-29,192,218,4643,20
2019-08-30,152,168,2266,10
2019-09-03,98,104,4129,9
2019-09-04,87,134,4137,16
2019-09-05,118,137,3120,15
2019-09-06,116,132,5263,22
2019-09-09,157,166,3945,41
2019-09-10,163,151,2016,27
